Date,Day of the Week,Start Time(Hours),Chatrapati Shivaji (International) Fare,Kokilaben Hospital Fare,Bank of Baroda(BKC) Fare,Marine Drive Aquarium Fare,Phoenix Mall Fare,Number of Cars Nearby,Chhatrapati Airport(International)Travel Time,Kokilaben Hospital Travel Time,Bank of Baroda BKC Travel Time,Marine Drive Travel Time,Phoenix Mall Travel Time,Type of Car,Travel Distance(Chattrapti Airport),Travel Distance(Kokilaben Hospital),Travel Distance(Bank of Baroda),Travel Distance (Taraporevala Aquaruim),Travel Distance (Phoneix Mall),Holiday/Festival,Latitude of Pickup point,Longitude of Pickup Point,Latitude of Destination(Chattrapti Shivaji Airport),Latitude of Destination(Kokilaben Hospital),Latitude of Destination ( bank of baroda),Latitude of Destination(Taraporevala Aquarium),Latitude of Destination(Phoneix Mall),Longitude of Destination(Chattrapati Shivaji Airport),Longitude of Destination(Kokilaben Hospital),Longitude of Destination(Bank of Baroda),Longitude of Destination(Taraporevala Aquarium),Longitude of Destination(Phoenix Mall)
28-09-2021,Tuesday,14:00,195,277,338,564,211,14,49,52,34,72,28,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,14:00,282,397,472,780,305,14,49,52,34,72,28,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,15:00,245,214,447,408,163,4,51,54,36,67,30,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,15:00,319,277,580,526,211,4,51,54,36,67,30,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,15:00,462,397,819,731,305,4,51,54,36,67,30,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,16:00,174,239,261,439,162,8,53,59,34,67,28,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,16:00,227,308,339,567,210,8,53,59,34,67,28,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,16:00,324,441,474,785,303,8,53,59,34,67,28,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,17:00,151,227,261,437,164,5,51,57,36,65,31,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,17:00,196,292,339,565,212,5,51,57,36,65,31,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,17:00,284,420,474,782,307,5,51,57,36,65,31,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,18:00,155,229,241,416,174,11,29,64,47,71,33,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,18:00,201,295,312,536,225,11,29,64,47,71,33,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,18:00,293,424,443,747,326,11,29,64,47,71,33,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,19:00,233,412,384,630,281,7,71,65,60,73,34,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,19:00,303,530,495,786,364,7,71,65,60,73,34,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,19:00,434,767,710,1059,529,7,71,65,60,73,34,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,20:00,183,239,248,549,183,7,65,59,49,67,32,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,20:00,238,308,320,683,238,7,65,59,49,67,32,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,20:00,341,441,458,914,343,7,65,59,49,67,32,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,21:00,227,209,223,630,281,4,22,65,37,59,34,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,21:00,295,270,288,786,364,4,22,65,37,59,34,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,21:00,423,386,412,1059,526,4,22,65,37,59,34,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,22:00,150,211,226,396,156,6,44,35,29,56,22,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,22:00,195,274,293,512,204,6,44,35,29,56,22,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,22:00,282,390,413,708,292,6,44,35,29,56,22,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
29-09-2021,Wednesday,8:00,212,297,359,510,220,12,19,33,29,54,20,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
